none,,_1,_2,_3,_4,none_1
,,,,,,
,,Zagreb,,100%,EUR,
,,,,,,
,,,,,,
,,Praha,,100%,CZK,
,,Krupka,,100%,CZK,
,,,,,,
,,,,,,
,,Copenhagen,,100%,DKK,
,,,,,,
,,,,,,
,,Espoo,,100%,EUR,
,,,,,,
,,,,,,
,,Issy-les-Moulineaux,,100%,EUR,
,,Paris,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
,◊,Issy-les-Moulineaux,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
,◊,Issy-les-Moulineaux,,100%,EUR,
,◊,Issy-les-Moulineaux,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
,,Issy-les-Moulineaux,,100%,EUR,
Cereal Partners France SNC,1),Issy-les-Moulineaux,,50%,EUR,3 000 000
L’Oréal S.A.,∆3),Paris,20.1%,20.1%,EUR,106 862 404
Listed on the Paris stock exchange market capitalization EUR 182.7 billion quotation code (ISIN) FR0000120321,,,,,,
Lactalis Nestlé Produits Frais S.A.S.,3),Laval,,40%,EUR,69 208 832
,,,,,,
,,,,,,
,NiM,Tbilisi,,100%,CHF,
,,,,,,
,,,,,,
,,Berlin,,100%,EUR,
,,Frankfurt am Main,,100%,EUR,
,,Freiburg i. Br.,,100%,EUR,
