2024,none,none_1,none_2,none_3,none_4,none_5,none_6,none_7,none_8,none_9
EUR NA AOA LATAM GC Total,,,,,,,,,,
14 124,2 571,599.0,350.0,27,17 671,13 774,2 576,592.0,436.0,27
(15 540),(2 190),-710.0,-374.0,-24,(18 838),(14 961),(2 197),-668.0,-439.0,-22
(1 416),381,-111.0,-24.0,3,(1 167),(1 187),379,-76.0,-3.0,5
172,438,448.0,353.0,—,1 411,172,435,450.0,387.0,—
