,_1,_2,_3,_4
,Wien,,100%,EUR
,Wien,,100%,EUR
,,,,
,,,,
°,Baku,<0.1%,100%,USD
,,,,
,,,,
°,Minsk,<0.1%,100%,BYN
,,,,
,,,,
,Bruxelles,,100%,EUR
,Bruxelles,,100%,EUR
,,,,
,,,,
°,Sarajevo,9.4%,100%,BAM
,,,,
,,,,
,Sofia,,100%,BGN
