none,,_1,_2,_3,_4,none_1
,,,,,,
,,,,,,
,,Buenos Aires,,50.9%,ARS,
,°,Buenos Aires,99.9%,100%,ARS,
,,Buenos Aires,48.5%,100%,ARS,
,,,,,,
,,,,,,
,,Santa Cruz,0.7%,100%,BOB,
,,Santa Cruz,<0.1%,100%,BOB,
,,,,,,
,,,,,,
,,Vila Velha,,100%,BRL,
,,Extrema,,100%,BRL,
,,São Paulo,26.1%,100%,BRL,
,,Feira de Santana,15.8%,100%,BRL,
,,Extrema,,100%,BRL,
,,São Paulo,,100%,BRL,
,,,,,,
,,,,,,
,,Toronto (Ontario),,100%,CAD,
,,,,,,
,,,,,,
,◊,Grand Cayman,,60%,SGD,
,,,,,,
,,,,,,
,,Quilicura,,99.8%,CLP,
,,Santiago de Chile,99.8%,99.8%,CLP,
Aguas CCU – Nestlé Chile S.A.,3),Santiago de Chile,,49.8%,CLP,49 799 375 321
,,,,,,
,,,,,,
,,Bogotá,<0.1%,100%,COP,
,,Bogotá,,100%,COP,
,,Bogotá,<0.1%,100%,COP,
,,Bogotá,<0.1%,100%,COP,
,,,,,,
,,,,,,
,,Heredia,,100%,CRC,
,,,,,,
,,,,,,
,NiM,Artemisa,,50.9%,USD,
,,,,,,
,,,,,,
,,Santo Domingo,98.5%,99.9%,DOP,
,°,Santo Domingo,6%,99.9%,USD,
