none,,_1,_2,_3,_4,none_1
,,,,,,
,,Bonn,,100%,EUR,
,◊,Frankfurt am Main,15%,100%,EUR,
,,Frankfurt am Main,,100%,EUR,
,,,,,,
,,,,,,
,,Maroussi,,100%,EUR,
,,,,,,
,,,,,,
,,Budapest,,100%,HUF,
,,,,,,
,,,,,,
,NiM,Dublin,,100%,EUR,
,,Askeaton,,100%,EUR,
,,,,,,
,,,,,,
,,Assago,,100%,EUR,
,,Assago,,100%,EUR,
,,Assago,,100%,EUR,
,,San Pellegrino Terme,,100%,EUR,
,,,,,,
,,,,,,
,,Almaty,<0.1%,100%,KZT,
,,,,,,
,,,,,,
,,Vilnius,,100%,EUR,
,,,,,,
,,,,,,
,◊,Luxembourg,,100%,EUR,
,◊,Luxembourg,100%,100%,EUR,
,°◊,Luxembourg,100%,100%,EUR,
European Pizza Group Topco Sàrl (a),1),Luxembourg,,44.5%,EUR,1 162 000
Froneri Lux Topco Sàrl (a),1),Luxembourg,,47%,EUR,119 655
Islay New Group Holding S.A. (b),3),Luxembourg,,21%,GBP,125 220 467
,,,,,,
,,,,,,
,NiM,Skopje-Karpos,,100%,MKD,
,,,,,,
,,,,,,
,NiM,Lija,,100%,EUR,
,,,,,,
,,,,,,
,°,Chișinău,100%,100%,MDL,
