0,1,2
2024,,2023
,,
91 354,,92 998
15 704,,16 053
17.2%,,17.3%
14 633,,14 520
16.0%,,15.6%
3 314,,2 314
10 884,,11 209
11.9%,,12.1%
7 991,(c),7 816
3 110,,2 993
,,
,,
35 188,,30 857
104 076,,95 693
139 264,,126 550
42 863,,37 084
59 708,,53 079
36 693,,36 387
56 005,,49 638
152.6%,,136.4%
16 675,,15 941
29.8%,,32.1%
10 666,,10 403
7 685,,7 159
8.4%,,7.7%
,,
,,
2 596,,2 646
4.19,,4.24
4.77,,4.80
3.05,(c),3.00
72.7%,(c),70.8%
100.06,,116.46
73.98,,96.57
3.0/4.1,(c),2.6/3.1
,,
192 645,,255 604
,,
277,,275
