,_1,_2,_3,_4
,,,,
,Dakar,,100%,XOF
,,,,
,,,,
,Johannesburg,,100%,ZAR
,,,,
,,,,
°,Lusaka,0.2%,100%,ZMW
,,,,
,,,,
,Harare,,100%,KZWL
