none,,_1,_2,_3,_4,none_1
,,,,,,
,◊,Vevey,,100%,CHF,
,◊,Vevey,100%,100%,CHF,
,,Vevey,,100%,CHF,
,,Vevey,,100%,CHF,
,,Vevey,,100%,CHF,
,°◊,Cham,100%,100%,CHF,
,NiM,Vevey,,100%,CHF,
,°◊,Vevey,100%,100%,CHF,
,,Henniez,,100%,CHF,
,,La Tour-de-Peilz,,100%,CHF,
,◊,Vevey,,100%,EUR,
,°◊,Vevey,100%,100%,CHF,
,,Vevey,100%,100%,CHF,
,,Manno,,100%,CHF,
CPW Operations S.à r.l.,°1),La Tour-de-Peilz,50%,50%,CHF,40 000
,,,,,,
,,,,,,
,,Bursa,,100%,TRY,
,,Istanbul,,99.9%,TRY,
,,Istanbul,,99.9%,TRY,
"Dikey Vitamin Kozmetik ve Gida Takviveleri Pazarlama
Ticaret A.S.",3),Istanbul,,37.5%,TRY,5 694 070
,,,,,,
,,,,,,
,,Kyiv,,100%,UAH,
,,Kharkiv,100%,100%,UAH,
,,Torchyn,,100%,UAH,
,,,,,,
,,,,,,
,,London,,100%,GBP,
,,London,,69.6%,GBP,
,,York,,100%,GBP,
,◊,York,,100%,GBP,
,°◊,York,100%,100%,CHF,
,°◊,York,100%,100%,CHF,
,,York,,100%,GBP,
,,York,,100%,GBP,
,,York,,100%,GBP,
,,York,,100%,GBP,
,,London,,100%,GBP,
,,Liverpool,,100%,GBP,
Cereal Partners UK,1),Herts,,50%,GBP,—
Phagenesis Ltd,°3),Manchester,12.4%,25.1%,GBP,42 107
