,_1,_2,_3,_4
,,,,
,Giza,100%,100%,EGP
,Cairo,,99.8%,EGP
,,,,
,,,,
NiM,Libreville,,90%,XAF
,,,,
,,,,
,Accra,,100%,GHS
,Accra,,76%,GHS
,,,,
,,,,
°,Nairobi,100%,100%,KES
,Nairobi,,100%,KES
,,,,
,,,,
NiM,Port Louis,,100%,MUR
,,,,
,,,,
,El Jadida,,94.6%,MAD
,,,,
,,,,
°,Maputo,<0.1%,100%,MZN
,,,,
,,,,
∆,Ilupeju,,70.8%,NGN
