none,,_1,_2,_3,_4,none_1
,,,,,,
,,Quito,<0.1%,100%,USD,
,,Quito,<0.1%,100%,USD,
,,Quito,<0.1%,100%,USD,
,,Tabacundo,,100%,USD,
,,,,,,
,,,,,,
,,San Salvador,<0.1%,100%,USD,
,,,,,,
,,,,,,
,°,Ciudad de Guatemala,<0.1%,100%,GTQ,
,,Ciudad de Guatemala,<0.1%,100%,GTQ,
,,,,,,
,,,,,,
,°,Tegucigalpa,<0.1%,100%,HNL,
,,Tegucigalpa,,100%,HNL,
,,,,,,
,,,,,,
,,Kingston,,100%,JMD,
,,,,,,
,,,,,,
,,Ciudad de México,,100%,MXN,
,,Ciudad de México,,100%,MXN,
,,Ciudad de México,,100%,MXN,
Manantiales La Asunción S.A.P.I. de C.V.,1),Ciudad de México,,40%,MXN,1 036 427 490
,,,,,,
,,,,,,
,,Managua,,92.6%,NIO,
,,Managua,,100%,NIO,
,,,,,,
,,,,,,
,,Ciudad de Panamá,,100%,PAB,
,,Ciudad de Panamá,,100%,PAB,
,,,,,,
,,,,,,
,NiM,Asunción,,100%,PYG,
,,,,,,
,,,,,,
,,Lima,50%,100%,PEN,
,,Lima,99.5%,99.5%,PEN,
