2024,none,none_1,none_2,none_3
"lautcartnoC
lanoiton
stnuoma eulav eulav seitilibail
stessa
riaF riaF
ro",,,,
,,,,
20 225,213.0,527.0,12 678,145.0
,,,,
10 938,194.0,125.0,9 201,110.0
2 340,446.0,50.0,1 288,132.0
33 503,853.0,702.0,23 167,387.0
,23.0,13.0,,21.0
,876.0,715.0,,408.0
,,,,
,,,,
,-170.0,-170.0,,-139.0
,-233.0,-196.0,,-76.0
,473.0,349.0,,193.0
