2024,none,none_1,none_2,none_3,none_4,none_5
"Other Joint
L’Oréal associates ventures Total",,,,,,
7 840,3 278,1 970,13 088,7 909,3 294,1 820
87,149,6,242,-439,-226,-141
—,605,24,629,—,558,253
—,-441,-4,-445,—,-71,-11
1 234,2,264,1 500,1 208,-215,150
—,-98,-1,-99,—,-6,15
270,-35,4,239,-138,-58,-41
-692,-33,-34,-759,-639,-23,-37
-38,-33,2,-69,-61,25,-38
8 701,3 394,2 231,14 326,7 840,3 278,1 970
