none,,_1,_2,_3,_4,none_1
,,,,,,
,,Shoham,,100%,ILS,
,,Petah Tikva,,100%,ILS,
,,Shoham,,100%,ILS,
,,Shoham,,100%,ILS,
,,Shoham,,100%,ILS,
,,,,,,
,,,,,,
,,Tokyo,25%,100%,JPY,
,,Kōbe,,100%,JPY,
,,Kōbe,,100%,JPY,
,,,,,,
,,,,,,
,,Amman,,87%,JOD,
,,,,,,
,,,,,,
,°,Seoul,25%,100%,KRW,
,,Seoul,,100%,KRW,
LOTTE-Nestlé (Korea) Co. Ltd,1),Cheongju,,50%,KRW,52 783 120 000
,,,,,,
,,,,,,
,,Safat,49%,49%,KWD,
,,,,,,
,,,,,,
,,Baabda,100%,100%,CHF,
,,,,,,
,,,,,,
,∆◊,Petaling Jaya,,72.6%,MYR,
