cost_of_sales,89_587,none,55_197,none_1,37_519,none_2,11_744,none_3,16_305,none_4,_1,none_5,210_352,none_6
Research and development,—,,—,,—,,—,,—,,-31370,,-31370,
Selling and marketing,-9802,,-4341,,-2351,,-854,,-1291,,—,,-18639,
General and administrative,—,,—,,—,,—,,—,,-7458,,-7458,
Operating income/(loss),$,67656.0,$,41790.0,$,27082.0,$,12454.0,$,13062.0,$,-38828.0,$,123216.0
