noitalsnart_evreser,gnigdeh_sevreser,dna_setaicossa_serutnev_sevreser_tnioj_fo,deniater_sgninrae,ot_sredloherahs_tnerap_ytiuqe_elbatubirtta_eht_latot_fo,gnillortnoc_non_stseretni,none
,,,,,,
(4 348),-7,—,—,(4 355),-148,(4 503)
199,—,—,—,199,—,199
127,—,—,—,127,23,150
(4 022),-7,—,—,(4 029),-125,(4 154)
,,,,,,
—,—,—,207,207,—,207
—,—,—,-44,-44,—,-44
—,—,—,163,163,—,163
,,,,,,
—,350,—,—,350,1,351
—,-105,—,—,-105,—,-105
—,-52,—,—,-52,—,-52
—,193,—,—,193,1,194
,,,,,,
—,—,—,-784,-784,-1,-785
—,—,—,162,162,—,162
—,—,—,-622,-622,-1,-623
,,,,,,
—,—,-197,-40,-237,—,-237
—,—,—,—,—,—,—
—,—,-197,-40,-237,—,-237
,,,,,,
(4 022),186,-197,-499,(4 532),-125,(4 657)
