2024,none,none_1,none_2,none_3
"Gross Expected
carrying credit loss
amount allowance Total",,,,
9 514,-100.0,9 414,9 092,-100.0
1 838,-6.0,1 832,2 002,-8.0
188,-183.0,5,179,-170.0
11 540,-289.0,11 251,11 273,-278.0
