,_1,_2,_3,_4
,,,,
,,,,
°,Alger,<0.1%,49%,DZD
°,Alger,49%,49%,DZD
,,,,
,,,,
,Luanda,,100%,AOA
,,,,
,,,,
,Ouagadougou,,100%,XOF
,,,,
,,,,
,Douala,,100%,XAF
,,,,
,,,,
∆,Abidjan,,88.1%,XOF
