,_1,_2,_3,_4,_5
6 867,209,5 years,4.5%,Stable,2.1%
4 846,1 133,5 years,3.8%,Stable,3.6%
2 842,1 553,5 years,1.8%,Improvement,2.1%
6 355,5 761,5 years,5.9%,Improvement,2.0%
922,4 004,5 years,4.8%,Stable,2.0%
21 832,12 660,,,,
8 763,4 086,,,,
30 595,16 746,,,,
