cost_of_sales,92_394,none,54_101,none_1,39_787,none_2,11_542,none_3,16_313,none_4,_1,none_5,214_137,none_6
Research and development,—,,—,,—,,—,,—,,-29915,,-29915,
Selling and marketing,-9658,,-4095,,-2444,,-827,,-1236,,—,,-18260,
General and administrative,—,,—,,—,,—,,—,,-6672,,-6672,
Operating income/(loss),$,60508.0,$,36098.0,$,30328.0,$,11888.0,$,12066.0,$,-36587.0,$,114301.0
