broadcom_inc,_1,100_00,_3,123_53,_5,193_73,_7,177_51,_9,323_12,_11,661_00
S&P 500 Index,$,100.0,$,108.65,$,155.28,$,133.58,$,143.35,$,202.39
NASDAQ 100 Index,$,100.0,$,136.71,$,197.45,$,144.98,$,179.61,$,255.89
