0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Kimon W. Michaels,,2024.0,,400000.0,,73510.0,,—,,—,,73509,,14286.0,,561305.0
Executive Vice,,2023.0,,395000.0,,77720.0,,—,,—,,80376,,18736.0,,571832.0
President Products and,,2022.0,,372500.0,,190000.0,,—,,—,,—,,7636.0,,570136.0
Solutions and Director,,,,,,,,,,,,,,,,
