0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
John K. Kibarian,,2024.0,,450000.0,,42699.0,,—,,—,,82698,,14286.0,,589683.0
Chief Executive,,2023.0,,447500.0,,39577.0,,—,,—,,90423,,18419.0,,595919.0
Officer President and,,2022.0,,426667.0,,220000.0,,—,,—,,—,,7953.0,,654620.0
Director,,,,,,,,,,,,,,,,
