0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Kimon W. Michaels,,2024,,"400,000",,"73,510",,—,,—,,"73,509",,"14,286",,"561,305"
Executive Vice,,2023,,"395,000",,"77,720",,—,,—,,"80,376",,"18,736",,"571,832"
"President, Products and",,2022,,"372,500",,"190,000",,—,,—,,—,,"7,636",,"570,136"
Solutions and Director,,,,,,,,,,,,,,,,
